id,ovr,name,team,pos,bye_week
685,490,C.J. Ham,MIN,RB,6
686,491,Luke Farrell,SF,TE,14
687,492,Derius Davis,LAC,WR,12
688,493,Ronnie Rivers,LAR,RB,8
689,494,Colby Parkinson,LAR,TE,8
690,495,Charlie Woerner,ATL,TE,5
691,496,David Moore,CAR,WR,14
692,497,Patrick Ricard,BAL,RB,7
693,498,Hunter Long,JAC,TE,8
694,499,Carlos Washington Jr.,ATL,RB,5
695,500,Charlie Kolar,BAL,TE,7
